Currency,FX_Rate_to_USD,queried_at_utc
JPY,0.00645,2026-09-15T08:44:25.908823+00:00
USD,1.0,2026-09-15T08:44:25.908823+00:00
EUR,1.1535,2026-09-15T08:44:25.908823+00:00
CNH,0.1489,2026-09-15T08:44:25.908823+00:00
CAD,0.7192,2026-09-15T08:44:25.908823+00:00
GBP,1.3475,2026-09-15T08:44:25.908823+00:00
KRW,0.07338,2026-09-15T08:44:25.908823+00:00
HKD,0.12749,2026-09-15T08:44:25.908823+00:00
MYR,0.245,2026-09-15T08:44:25.908823+00:00
SEK,0.102287,2026-09-15T08:44:25.908823+00:00
AUD,0.7125,2026-09-15T08:44:25.908823+00:00
