Currency,FX_Rate_to_USD,queried_at_utc
USD,1.0,2026-09-16T02:29:49.095404+00:00
CNH,0.149,2026-09-16T02:29:49.095404+00:00
HKD,0.12748,2026-09-16T02:29:49.095404+00:00
JPY,0.006437,2026-09-16T02:29:49.095404+00:00
CAD,0.7177,2026-09-16T02:29:49.095404+00:00
EUR,1.1538,2026-09-16T02:29:49.095404+00:00
GBP,1.3474,2026-09-16T02:29:49.095404+00:00
KRW,0.07308,2026-09-16T02:29:49.095404+00:00
MYR,0.2454,2026-09-16T02:29:49.095404+00:00
SEK,0.102243,2026-09-16T02:29:49.095404+00:00
AUD,0.7125,2026-09-16T02:29:49.095404+00:00
