Currency,FX_Rate_to_USD,queried_at_utc
USD,1.0,2026-09-16T01:39:06.829428+00:00
CNH,0.1489,2026-09-16T01:39:06.829428+00:00
HKD,0.12747,2026-09-16T01:39:06.829428+00:00
JPY,0.006432,2026-09-16T01:39:06.829428+00:00
CAD,0.7176,2026-09-16T01:39:06.829428+00:00
EUR,1.1532,2026-09-16T01:39:06.829428+00:00
GBP,1.3467,2026-09-16T01:39:06.829428+00:00
KRW,0.07292,2026-09-16T01:39:06.829428+00:00
MYR,0.2448,2026-09-16T01:39:06.829428+00:00
SEK,0.102207,2026-09-16T01:39:06.829428+00:00
AUD,0.7125,2026-09-16T01:39:06.829428+00:00
